Date,Price,Open,High,Low,Change %,,,https://www.investing.com/rates-bonds/hong-kong-10-year-bond-yield-historical-data
1/1/2018,1.81,1.81,1.81,1.81,0,,,
29/12/2017,1.81,1.796,1.826,1.782,-0.0044,,,
28/12/2017,1.818,1.818,1.818,1.818,-0.0386,,,
27/12/2017,1.891,1.891,1.891,1.891,0,,,
26/12/2017,1.891,1.891,1.891,1.891,0,,,
22/12/2017,1.891,1.891,1.891,1.89,-0.0053,,,
21/12/2017,1.901,1.918,1.918,1.887,0.0304,,,
20/12/2017,1.845,1.845,1.845,1.844,0.0132,,,
19/12/2017,1.821,1.823,1.823,1.82,0.0111,,,
18/12/2017,1.801,1.845,1.845,1.8,-0.018,,,
17/12/2017,1.834,1.834,1.834,1.834,0,,,
16/12/2017,1.834,1.834,1.834,1.834,0,,,
15/12/2017,1.834,1.834,1.834,1.833,-0.0086,,,
14/12/2017,1.85,1.834,1.856,1.834,-0.0091,,,
13/12/2017,1.867,1.85,1.867,1.85,0.0114,,,
12/12/2017,1.846,1.834,1.854,1.834,0.0132,,,
11/12/2017,1.822,1.895,1.895,1.822,-0.0365,,,
10/12/2017,1.891,1.891,1.891,1.891,0,,,
8/12/2017,1.891,1.872,1.891,1.872,0.0255,,,
7/12/2017,1.844,1.874,1.874,1.844,-0.0264,,,
6/12/2017,1.894,1.9,1.905,1.894,-0.0146,,,
5/12/2017,1.922,1.894,1.933,1.894,0.0116,,,
4/12/2017,1.9,1.888,1.9,1.887,0.0182,,,
3/12/2017,1.866,1.866,1.866,1.866,0,,,
1/12/2017,1.866,1.866,1.866,1.866,-0.0032,,,
30/11/2017,1.872,1.868,1.88,1.868,0.0218,,,
29/11/2017,1.832,1.892,1.892,1.832,-0.0065,,,
28/11/2017,1.844,1.844,1.844,1.844,0.0038,,,
27/11/2017,1.837,1.837,1.837,1.837,0.0303,,,
26/11/2017,1.783,1.783,1.783,1.783,0,,,
24/11/2017,1.783,1.778,1.783,1.778,0.0312,,,
23/11/2017,1.729,1.729,1.729,1.729,-0.0103,,,
22/11/2017,1.747,1.747,1.747,1.747,0.0104,,,
21/11/2017,1.729,1.729,1.729,1.729,0.0177,,,
20/11/2017,1.699,1.729,1.729,1.699,-0.0168,,,
19/11/2017,1.728,1.728,1.728,1.728,0,,,
17/11/2017,1.728,1.728,1.728,1.728,-0.0035,,,
16/11/2017,1.734,1.734,1.734,1.734,0.0041,,,
15/11/2017,1.727,1.727,1.727,1.727,-0.0204,,,
14/11/2017,1.763,1.763,1.763,1.763,0.0074,,,
